3332  1651 1681
3224  1593 1631
3151  1540 1611
3163  1672 1491
3362  1954 1408
3651  2001 1650
3664  1759 1905
3667  1899 1768
3617  1715 1902
3431  1684 1747
3255  1618 1637
3132  1531 1601
2966  1316 1650
2798  1384 1414
2983  1792 1191
3565  2199 1366
3963  2008 1955
3827  1657 2170
3281  1328 1953
2867  1252 1615
2687  1443 1244
2869  1674 1195
3264  1970 1294
3711  2175 1536
3996  2134 1862
4035  2011 2024
3951  1947 2004
3845  1775 2070
3487  1495 1992
3081  1368 1713
2978  1582 1396
3233  1873 1360
3618  1948 1670
3689  1851 1838
3681  1834 1847
3533  1683 1850
3302  1471 1831
3060  1412 1648
2878  1373 1505
2810  1412 1398
2808  1492 1316
3118  1991 1127
3811  2522 1289
4560  2638 1922
4733  2254 2479
4375  1911 2464
3835  1497 2338
3021  1166 1855
2551  1062 1489
2300  1104 1196
2355  1403 952
2814  1883 931
3588  2358 1230
4287  2600 1687
4562  2494 2068
4514  2004 2510
4023  1517 2506
3267  1202 2065
2718  1215 1503
2571  1306 1265
2635  1494 1141
3033  1970 1063
3822  2490 1332
4372  2302 2070
4266  1932 2334
3770  1507 2263
3160  1288 1872
2761  1241 1520
2687  1431 1256
2820  1617 1203
3259  2163 1096
4043  2610 1433
4522  2463 2059
4344  1717 2627
3609  1253 2356
2680  1006 1674
2322  1006 1316
2283  1221 1062
2572  1605 967
3190  2052 1138
3821  2466 1355
4478  2627 1851
4691  2297 2394
4397  1971 2426
3873  1629 2244
3292  1260 2032
2737  1062 1675
2449  1224 1225
2617  1565 1052
3053  1981 1072
3634  2175 1459
3984  2143 1841
4157  2146 2011
3966  1965 2001
3749  1854 1895
3360  1321 2039
2921  1255 1666
2749  1317 1432
2811  1522 1289
3022  1744 1278
3439  2006 1433
3687  1994 1693
3819  1847 1972
3518  1577 1941
3212  1486 1726
3040  1483 1557
3049  1644 1405
3166  1684 1482
3349  1828 1521
3601  2062 1539
3889  2140 1749
3898  1949 1949
3776  1830 1946
3615  1649 1966
3315  1483 1832
3136  1508 1628
3120  1733 1387
3312  1810 1502
3637  2026 1611
3876  1991 1885
3715  1668 2047
3335  1462 1873
2990  1350 1640
2838  1480 1358
3006  1668 1338
3405  2043 1362
3847  2149 1698
3975  1950 2025
3815  2031 1784
3835  1894 1941
3494  1506 1988
3231  1582 1649
3250  1657 1593
3237  1633 1604
3246  1620 1626
3322  1709 1613
3374  1723 1651
3396  1723 1673
3311  1605 1706
3274  1723 1551
3353  1795 1558
3292  1679 1613
3395  1722 1673
3323  1600 1723
3160  1463 1697
2981  1399 1582
2899  1541 1358
3103  1805 1298
3512  2114 1398
3842  2169 1673
4013  2136 1877
4038  1891 2147
3716  1646 2070
3404  1616 1788
3330  1668 1662
3209  1406 1803
2830  1280 1550
2735  1358 1377
2790  1620 1170
3277  2060 1217
3817  2189 1628
4060  2036 2024
3968  1830 2138
3699  1730 1969
3542  1699 1843
3333  1511 1822
3127  1550 1577
3166  1793 1373
3368  1880 1488
3567  1768 1799
3524  1762 1762
3479  1729 1750
3241  1564 1677
3167  1608 1559
3227  1679 1548
3191  1619 1572
3292  1706 1586
3302  1736 1566
3312  1641 1671
3258  1602 1656
3279  1640 1639
3181  1578 1603
3216  1627 1589
3229  1717 1512
3288  1814 1474
3414  1829 1585
3532  1814 1718
3631  1982 1649
3640  1901 1739
3616  1783 1833
3462  1516 1946
3039  1387 1652
2867  1481 1386
2950  1649 1301
3257  1992 1265
3831  2302 1529
4173  2226 1947
4116  1812 2304
3605  1423 2182
3187  1453 1734
2953  1510 1443
2946  1549 1397
3034  1616 1418
3169  1703 1466
3251  1742 1509
3467  1870 1597
3469  1725 1744
3545  1845 1700
3475  1688 1787
3246  1485 1761
2985  1448 1537
2847  1424 1423
2922  1559 1363
3252  1903 1349
3654  2123 1531
4014  2232 1782
3985  1879 2106
3575  1582 1993
3400  1734 1666
3316  1575 1741
3047  1403 1644
2913  1580 1333
3046  1740 1306
